average: 1753.6
std dev: 976.3759931501799
minimum: 447
maximum: 5000
-------------
trial 1: 2054
trial 2: 834
trial 3: 2225
trial 4: 616
trial 5: 864
trial 6: 1142
trial 7: 2992
trial 8: 1629
trial 9: 1137
trial 10: 1300
trial 11: 1131
trial 12: 1416
trial 13: 4756
trial 14: 1786
trial 15: 1489
trial 16: 1507
trial 17: 716
trial 18: 2696
trial 19: 1768
trial 20: 1940
trial 21: 1366
trial 22: 1353
trial 23: 1880
trial 24: 1762
trial 25: 5000
trial 26: 1276
trial 27: 2184
trial 28: 2484
trial 29: 821
trial 30: 1525
trial 31: 1243
trial 32: 985
trial 33: 3032
trial 34: 2130
trial 35: 941
trial 36: 1217
trial 37: 2775
trial 38: 718
trial 39: 1185
trial 40: 1819
trial 41: 3229
trial 42: 1552
trial 43: 1350
trial 44: 2189
trial 45: 550
trial 46: 739
trial 47: 935
trial 48: 1110
trial 49: 1654
trial 50: 5000
trial 51: 1013
trial 52: 1467
trial 53: 1398
trial 54: 2062
trial 55: 1745
trial 56: 983
trial 57: 1873
trial 58: 1852
trial 59: 874
trial 60: 1315
trial 61: 2970
trial 62: 2119
trial 63: 447
trial 64: 1537
trial 65: 2082
trial 66: 1244
trial 67: 2662
trial 68: 3322
trial 69: 3015
trial 70: 3657
trial 71: 1917
trial 72: 828
trial 73: 2248
trial 74: 4706
trial 75: 1040
trial 76: 726
trial 77: 1950
trial 78: 1417
trial 79: 1332
trial 80: 2262
trial 81: 987
trial 82: 834
trial 83: 665
trial 84: 2792
trial 85: 1421
trial 86: 740
trial 87: 1708
trial 88: 3815
trial 89: 3032
trial 90: 1238
trial 91: 1306
trial 92: 845
trial 93: 1383
trial 94: 1525
trial 95: 3001
trial 96: 1058
trial 97: 733
trial 98: 1649
trial 99: 1072
trial 100: 1491
