average: 1532.24
std dev: 867.2984160022432
minimum: 510
maximum: 4667
-------------
trial 1: 851
trial 2: 2098
trial 3: 2025
trial 4: 1732
trial 5: 885
trial 6: 1422
trial 7: 642
trial 8: 626
trial 9: 899
trial 10: 1042
trial 11: 946
trial 12: 957
trial 13: 1654
trial 14: 1747
trial 15: 561
trial 16: 3236
trial 17: 1794
trial 18: 1200
trial 19: 2522
trial 20: 1881
trial 21: 1827
trial 22: 677
trial 23: 1297
trial 24: 1376
trial 25: 881
trial 26: 3285
trial 27: 1448
trial 28: 2310
trial 29: 518
trial 30: 2106
trial 31: 1487
trial 32: 720
trial 33: 2541
trial 34: 1325
trial 35: 1287
trial 36: 1010
trial 37: 1724
trial 38: 510
trial 39: 597
trial 40: 943
trial 41: 1448
trial 42: 1321
trial 43: 1366
trial 44: 859
trial 45: 1005
trial 46: 718
trial 47: 1028
trial 48: 1358
trial 49: 854
trial 50: 3728
trial 51: 4667
trial 52: 965
trial 53: 2087
trial 54: 1313
trial 55: 620
trial 56: 1901
trial 57: 1374
trial 58: 1051
trial 59: 777
trial 60: 1664
trial 61: 743
trial 62: 3969
trial 63: 1362
trial 64: 4517
trial 65: 985
trial 66: 1364
trial 67: 1729
trial 68: 957
trial 69: 2060
trial 70: 2540
trial 71: 935
trial 72: 1713
trial 73: 782
trial 74: 2156
trial 75: 2498
trial 76: 814
trial 77: 1768
trial 78: 1065
trial 79: 1233
trial 80: 1193
trial 81: 540
trial 82: 3845
trial 83: 1589
trial 84: 2394
trial 85: 891
trial 86: 2095
trial 87: 2163
trial 88: 740
trial 89: 2658
trial 90: 1552
trial 91: 2665
trial 92: 866
trial 93: 687
trial 94: 1635
trial 95: 991
trial 96: 2095
trial 97: 731
trial 98: 1488
trial 99: 623
trial 100: 1900
